ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,effectx,fairx,confx,antisocx
136886210,Female,48,4,White,,2,1,0,,,-0.148284943,1
136886290,Male,91,7,White,,5,2,0,,,0.8568329502855566,0.75
136886330,Male,69,6,White,University,1,2,0,,,0.1156854125491157,0.3
136887010,Female,52,4,White,University,5,2,1,-0.721443305,,1.5269115460472702,
136887050,Female,43,3,White,ALevel,4,4,0,-1.889381878,-3.256564592,-1.508747547,1.22
136887170,Male,57,5,White,University,1,4,0,-1.619857592,,1.5675223700328285,1.22
136887250,Female,42,3,White,University,4,4,1,-0.711460924,-1.553559601,0.3593503564624661,-1.17
136888090,Male,41,3,White,GCSE,5,3,0,-0.661549019,,-0.087368707,0.21
136888210,Male,35,3,White,University,5,2,0,0.7559490783216478,0.6968398503966078,-0.584851301,-0.95
136888290,Male,49,4,White,University,4,2,1,1.6244162226087036,1.6902594281498886,1.3137047201230885,-0.54
136889010,Female,57,5,White,GCSE,4,4,1,,,-0.087368707,-0.69
136889050,Male,27,2,White,,5,4,0,-1.280456639,,-2.219436967,-0.72
136889130,Female,39,3,White,ALevel,3,5,0,-1.000949972,,,-0.31
136889250,Female,77,7,White,GCSE,2,2,0,0.745966697,,,-0.71
136889330,Female,21,1,White,ALevel,1,3,0,-0.721443305,,1.1208033061916862,-1.19
136890010,Male,55,5,White,GCSE,5,3,1,-0.411989495,-0.408086006,0.8365275382927774,0.71
136890050,Female,56,5,White,GCSE,5,1,0,-1.280456639,-0.022882497,-0.270117415,1.22
136890090,Male,39,3,White,,5,1,0,,,,0.97
136890130,Male,21,1,White,University,2,3,0,,,1.5675223700328285,0.73
136890170,Male,37,3,White,University,1,5,0,-0.701478543,,0.8568329502855566,1.22
136890210,Male,51,4,White,University,5,5,1,-0.990967591,-0.773015647,0.8771383622783356,1.22
136891010,Female,62,5,White,,2,2,0,-1.29043902,,-0.087368707,0.29
136891050,Male,77,7,White,,4,2,0,-0.402007114,,-0.544240477,0.77
136891090,Male,18,1,White,,1,3,0,-0.122500447,-0.854111123,0.3593503564624661,1.22
136891170,Female,72,6,White,,1,4,0,,,0.3593503564624661,1.22
136891210,Male,59,5,White,ALevel,1,4,0,-1.889381878,,-0.483324241,1.22
136891250,Female,57,5,White,University,1,5,0,,,0.613168006,0.73
136891290,Female,49,4,White,,1,5,0,-1.589910449,-1.279862371,-0.331033651,0.69
136891330,Male,25,2,White,University,4,4,0,0.4664600302259626,1.0313586878033247,1.0700397762097382,1
136892130,Female,65,6,White,GCSE,1,2,0,,,-0.097521413,-0.01
136892210,Female,60,5,White,,5,5,0,-1.020914734,-2.070543259,,-0.29
136892250,Male,79,7,White,,1,2,0,-2.168888546,-2.415199031,-3.17379133,1.22
136893090,Male,67,6,White,ALevel,5,1,0,0.1769709821302773,0.058212979,-0.036605177,0.73
136893130,Female,49,4,White,ALevel,1,4,1,-0.691496162,-0.154662645,-0.351339063,0
136893170,Male,52,4,White,University,3,2,1,0.1769709821302773,-0.408086006,-0.087368707,-0.05
136893210,Male,72,6,White,,5,3,0,-0.112518066,0.3319102095892799,-0.787905421,-0.85
136894010,Male,63,5,White,University,1,4,0,,0.3014994061886693,0.3695030624588558,-0.44
136894050,Male,61,5,White,ALevel,3,3,0,,-0.499318417,0.3593503564624661,1.22
136894090,Male,70,6,White,University,1,4,0,-1.020914734,,-2.392032969,1
136894130,Female,33,2,White,ALevel,1,5,0,-0.142465209,,0.3593503564624661,1.22
136894170,Female,67,6,White,University,1,3,0,-0.990967591,0.8488938673996609,-0.148284943,1.22
136894210,Female,32,2,White,GCSE,1,4,0,,,-0.138132237,1.22
136894250,Female,24,1,White,ALevel,2,3,0,-0.102535685,0.8793046708002716,0.3999611804480245,0.78
136894290,Female,30,2,White,,5,4,0,0.2069181250367275,-2.323966621,-2.97073721,1
136895010,Male,31,2,Asian or Asian British,University,8,4,0,0.486424792,,,
136895050,Male,43,3,White,ALevel,5,2,0,,-0.002608628,-0.595004007,
136895090,Female,69,6,White,,5,3,0,,,-0.544240477,
136895130,Female,60,5,White,ALevel,1,4,0,-0.102535685,,0.613168006,-1.24
136895170,Male,31,2,White,GCSE,4,2,0,,,-0.107674119,-0.28
136895210,Male,70,6,Chinese or other,GCSE,4,2,0,-0.481866162,,1.3238574261194782,
136895250,Male,52,4,White,,6,1,1,1.6443809845463369,0.5447858333935546,,
136895290,Female,91,7,White,GCSE,2,4,0,-0.711460924,-1.168356092,,
136896010,Male,68,6,White,GCSE,5,5,0,0.1669886011614606,,-0.056910589,0.7
136896090,Male,57,5,White,University,2,4,0,-0.990967591,-0.519592286,-0.036605177,0.06
136896170,Male,38,3,White,GCSE,5,2,0,-0.961020448,-1.249451567,-0.584851301,-0.7
136896250,Female,60,5,White,University,5,5,0,,,0.3695030624588558,1.22
136896290,Female,18,1,White,ALevel,3,4,0,1.0454381264173331,-0.397949072,1.0700397762097382,1
136897010,Female,51,4,White,GCSE,5,4,0,0.7659314592904646,,-0.138132237,-0.23
136897050,Male,59,5,White,GCSE,2,3,0,-0.411989495,-0.489181482,0.613168006,-0.53
136897090,Male,34,2,White,ALevel,3,5,0,1.3449095554818349,0.8793046708002716,-0.808210833,0.97
136897170,Male,77,7,White,,3,2,0,,,,-0.67
136897210,Male,45,4,White,University,1,5,0,0.1769709821302773,0.3623210129898906,0.3593503564624661,0.51
136897290,Female,52,4,White,University,5,2,0,,0.4231426197911119,-1.539205665,0.73
136898090,Female,74,6,White,GCSE,5,3,0,1.0454381264173331,0.1798561925862268,0.3593503564624661,0.49
136898170,Female,64,5,White,University,2,5,0,-0.421971876,-1.289999305,0.1562962365346741,0.97
136898290,Female,41,3,White,,5,3,0,1.0454381264173331,0.5143750299929439,0.5624044763902581,-2.51
136899010,Male,77,7,Asian or Asian British,GCSE,4,5,0,-0.6715314,,-0.503629653,1.22
136899050,Male,34,2,White,ALevel,4,4,0,1.3449095554818349,,0.1562962365346741,-0.23
136899130,Female,21,1,Black or Black British,GCSE,1,5,0,1.0454381264173331,-0.002608628,0.075074589,-0.22
136899170,Male,42,3,White,University,1,5,0,-0.402007114,0.89957854,0.6740842423505438,-0.26
136899210,Male,18,1,White,GCSE,1,5,1,-0.132482828,0.3623210129898906,0.1156854125491157,0
136899250,Female,78,7,White,,5,5,0,,0.6664290469959971,0.613168006,0.21
136899330,Female,27,2,White,University,7,1,1,0.4764424111947792,,0.1156854125491157,-1.76
136900010,Male,70,6,White,ALevel,5,3,0,-1.59989283,-0.732467909,-0.787905421,0.04
136900090,Male,36,3,White,ALevel,2,3,0,,,-0.087368707,-0.45
136900130,Male,67,6,White,University,1,3,0,-0.741408067,-1.259588502,-0.767600009,1
136900170,Female,45,4,White,ALevel,1,3,0,,0.4231426197911119,-3.143333212,1
136900230,Female,37,3,White,University,1,3,0,,1.3861513941437824,0.3593503564624661,1
136901010,Female,21,1,White,Other,7,4,0,,-0.3472644,-1.559511077,0.74
136901050,Female,39,3,White,University,5,4,0,-0.112518066,0.3623210129898906,0.3593503564624661,-0.79
136901090,Female,33,2,White,,1,4,0,1.0354557454485165,,0.3593503564624661,0.51
136901130,Male,47,4,White,University,3,3,1,-0.691496162,,-0.554393183,-0.07
136901170,Female,69,6,White,Other,5,3,0,-1.619857592,-2.171912604,1.1208033061916862,-1.68
136901210,Male,23,1,White,University,5,2,1,-1.030897115,-0.296579727,-2.889515562,-1.92
136902010,Female,64,5,White,University,1,4,0,0.7559490783216478,,-0.006147059,
136902050,Male,43,3,White,University,1,1,0,1.0354557454485165,1.0516325567370652,0.3593503564624661,0.73
136902090,Female,53,4,White,,4,3,0,1.9438524136108388,1.0313586878033247,1.5675223700328285,0.07
136902130,Female,81,7,White,University,1,5,0,-1.300421401,,-1.001112247,-0.25
136902170,Male,56,5,White,ALevel,1,5,0,-2.168888546,,-1.275235309,1.22
